Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
NJIT,GWC,15-17,-13.11,96.6,109.7,64.1,-0.025,-9.71,-4.54
North Carolina A&T,MEAC,20-Dec,-13.18,94,107.2,68.1,-0.024,-5.08,6.39
Southeastern Louisiana,Slnd,17-Dec,-13.46,86.5,99.9,63,0.011,-6.69,-4.72
Utah,P12,25-Jun,-13.69,93.3,107,60.8,-0.01,5.41,-0.12
Cal St. Northridge,BW,21-Jul,-13.77,98.2,112,67.9,-0.049,-2.32,-0.25
Idaho St.,BSky,21-Sep,-13.93,97.1,111,64.9,0.027,-3.06,2.01
Hartford,AE,22-Sep,-14.72,91.3,106,64.2,-0.019,-6.2,-3.04
Texas A&M Corpus Chris,Slnd,24-Jun,-14.94,89.9,104.8,64.8,0.026,-2.65,1.26
SIU Edwardsville,OVC,17-Oct,-15.1,95.4,110.5,67.7,0.06,-5.63,-5.33
Howard,MEAC,21-Oct,-15.16,91,106.1,65.4,0.04,-3.99,9.4
St. Francis PA,NEC,23-Jun,-15.24,95.3,110.5,63,-0.049,-3.55,4.36
Brown,Ivy,23-Aug,-15.73,95.2,110.9,64.1,-0.006,-3.63,-7.11
Louisiana Monroe,SB,26-Mar,-15.97,96.9,112.9,63.5,-0.088,-0.29,1.22
Texas Pan American,GWC,21-Nov,-16.22,92.9,109.1,63.7,0.017,-4.55,1.78
Radford,BSth,26-Jun,-16.7,90.1,106.8,64.1,-0.064,-4.34,-0.01
Southern,SWAC,17-14,-16.73,90,106.7,63.4,0.113,-11.85,1.64
Alabama St.,SWAC,19-Dec,-16.87,87.8,104.7,63.5,0.026,-9.96,9.52
Saint Peter's,MAAC,26-May,-17.05,89.6,106.7,63.3,-0.044,-1.4,1.64
Florida A&M,MEAC,23-Oct,-17.29,93.4,110.6,67.8,0.039,-6.08,1.42
Kennesaw St.,ASun,28-Mar,-17.4,97.4,114.8,62,-0.098,1.54,4.75
Houston Baptist,GWC,20-Oct,-17.48,93.2,110.7,70.2,0.015,-7.25,-2.02
Central Arkansas,Slnd,21-Aug,-17.91,93.1,111,71.7,0.003,-4.36,0.77
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
Arkansas Pine Bluff,SWAC,22-Nov,-17.97,93.5,111.5,65.2,0.062,-8.05,8.51
Prairie View A&M,SWAC,14-18,-18.01,85.5,103.5,70,0.045,-11.52,7.38
The Citadel,SC,24-Jun,-18.01,92.6,110.6,63.4,-0.042,-4.34,-1.64
Colgate,Pat,22-Aug,-18.21,97.7,115.9,64.8,0.064,-4.45,-5.74
Nicholls St.,Slnd,20-Oct,-18.45,100.8,119.2,64.8,0.048,-3.73,0.86
Canisius,MAAC,25-May,-18.63,94.9,113.5,65.3,0.003,-4.34,-7.7
Maryland Eastern Shore,MEAC,23-Jul,-18.74,87.1,105.9,66.9,0.004,-4.06,4.31
UC Davis,BW,26-May,-18.82,94.6,113.4,64.8,-0.039,-2.4,-2.73
Navy,Pat,26-Mar,-19.15,91.4,110.6,59.5,-0.055,-4.03,-4.85
