,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
39,505,2009,Western Kentucky,66.1823,64.2906,109.167,109.869,101.233,102.838,7.0309300000000015,12,1,-0.6,6.63,52.3848,49.5133,2.8715,19.8389,19.7017,-0.1372,37.472,31.4211,6.0509,33.8157,31.3142,2.5015,0.9
40,572,2010,Ohio,68.8889,68.1933,104.266,105.808,97.5162,98.4546,7.353789999999999,14,1,0.76,-0.9,49.3717,46.6746,2.6971,18.2447,21.6014,3.3567,31.25,34.6125,-3.3625,41.0826,35.677,5.4056,0.7
41,566,2010,Murray St,67.9082,65.5723,112.056,108.952,90.0948,94.3666,14.5856,13,1,-5.78,-5.24,55.1093,44.0065,11.1028,21.8101,23.9868,2.1767,39.6058,32.2808,7.325,42.0219,34.7192,7.3027,0.9
42,568,2010,Cornell,65.2596,63.4422,113.894,115.443,97.8399,101.891,13.552,12,0,-0.66,4.12,56.5878,48.1437,8.4441,18.7033,20.94,2.2367,31.5228,30.1806,1.3422,29.1667,38.503,-9.3363,0.9
43,550,2010,Northern Iowa,59.2562,58.576,106.921,108.029,91.4167,89.7638,18.2648,9,1,4.08,-1.58,49.5979,46.6276,2.9703,17.9945,20.5098,2.5153,31.7761,27.8696,3.9065,37.0477,28.7976,8.2501,0.8
44,552,2010,Washington,73.2787,71.3389,108.203,111.513,95.544,93.6021,17.9107,11,1,6.97,1.13,49.7061,46.4968,3.2093,17.4899,22.1565,4.6666,36.6409,31.7868,4.8541,40.9132,44.635,-3.7218,0.8
45,568,2010,Cornell,65.2596,63.4422,113.894,115.443,97.8399,101.891,13.552,12,0,-0.66,4.12,56.5878,48.1437,8.4441,18.7033,20.94,2.2367,31.5228,30.1806,1.3422,29.1667,38.503,-9.3363,0.9
46,545,2010,St Marys,67.5943,66.3664,116.162,116.442,97.6123,97.0364,19.4058,10,1,2.72,1.18,55.2743,46.1224,9.1519,17.4455,15.9128,-1.5327,34.5334,30.7246,3.8088,32.7004,30.2551,2.4453,0.8
47,640,2011,Morehead St,64.1904,63.8399,105.992,105.208,95.9971,98.4152,6.79253,13,1,-2.89,2.66,50.3993,49.1818,1.2175,23.2428,22.7263,-0.5165,41.2489,28.0693,13.1796,40.3879,37.3939,2.994,0.9
48,621,2011,Richmond,64.1354,63.1619,108.788,111.003,94.5571,95.4298,15.5729,12,1,3.11,1.0,53.0627,45.1047,7.957999999999998,16.3974,19.5752,3.1778,28.8406,33.154,-4.3134,32.3207,29.2742,3.0465,0.9
49,612,2011,Marquette,68.6201,66.7571,110.602,115.623,101.177,97.4927,18.1301,11,0,11.06,-5.91,51.0267,49.9066,1.1201,18.1644,20.6467,2.4823,35.7592,32.679,3.0802,44.2693,28.8515,15.4178,0.5
50,625,2011,Florida St,69.6532,67.5152,99.0533,103.157,89.6939,88.1874,14.9701,10,0,7.01,-1.82,49.0011,42.3618,6.6393,22.9735,21.9139,-1.0596,36.1702,30.935,5.2352,38.1178,36.2878,1.83,0.6
51,636,2011,VCU,65.9302,65.9737,107.434,109.563,101.36,100.813,8.74997,11,0,4.79,2.26,51.0777,49.1818,1.8959,17.1446,22.1294,4.9848,30.7333,36.4885,-5.7552,37.0005,34.1364,2.8641,0.5
52,624,2011,Butler,65.4927,63.7754,109.473,112.272,97.9504,97.278,14.9935,8,1,6.11,6.67,49.8304,48.0987,1.7317,16.9485,18.8455,1.897,32.794000000000004,27.94,4.854,37.9361,38.9517,-1.0156,0.9
53,636,2011,VCU,65.9302,65.9737,107.434,109.563,101.36,100.813,8.74997,11,0,4.79,2.26,51.0777,49.1818,1.8959,17.1446,22.1294,4.9848,30.7333,36.4885,-5.7552,37.0005,34.1364,2.8641,0.5
54,709,2012,Lehigh,69.1359,67.0402,108.789,108.606,93.7116,99.6982,8.90823,15,1,-5.57,-5.17,50.3561,47.1958,3.1603,16.5084,21.2984,4.79,31.0491,29.8734,1.1757,38.0468,33.6508,4.396,0.9
55,697,2012,VCU,65.7543,64.298,103.222,107.166,90.0179,94.5327,12.6331,12,1,0.53,1.9,47.5502,47.2454,0.3048,17.4741,27.29,9.8159,33.4475,33.9793,-0.5318,36.2567,36.7279,-0.4712,0.9
56,718,2012,Norfolk St,69.1819,66.0683,99.7367,99.5279,95.81,101.974,-2.44646,15,1,-6.31,1.39,49.4361,46.392,3.0441,21.1062,19.5743,-1.5319,33.3189,33.0508,0.2681,42.4275,37.2569,5.1706,0.9
57,706,2012,Ohio,67.6514,65.5881,103.565,105.736,92.5098,94.9527,10.7829,13,1,0.8,-2.97,48.9466,47.1026,1.844,19.4133,26.4087,6.9954,33.9029,34.5002,-0.5973,36.2567,42.4945,-6.2378,0.8
58,704,2012,South Florida,60.3688,57.9277,96.7684,102.792,94.1597,91.3144,11.4773,12,0,8.17,1.27,48.3284,44.098,4.2304,22.6221,18.6692,-3.9529,33.9981,30.6329,3.3652,34.1349,32.3497,1.7852,0.7
59,695,2012,NC State,68.5876,66.3856,106.777,111.847,98.7679,98.7065,13.1406,11,0,6.22,1.18,50.4217,47.0561,3.3656,18.7091,18.59,-0.1191,35.8044,30.8715,4.9329,36.2699,32.1028,4.1671,0.5
60,762,2013,Oregon,68.8589,67.0931,102.319,105.529,90.3297,90.6673,14.8613,12,1,5.92,-8.08,49.2891,46.4426,2.8465,21.4335,21.9742,0.5407,35.7369,27.1173,8.6196,38.3412,33.317,5.0242,0.7
61,777,2013,Harvard,63.8389,62.4831,106.623,108.139,99.3506,101.233,6.90592,14,0,0.6,5.07,54.3097,49.1591,5.1506,20.8058,20.8592,0.0534,25.6188,31.4317,-5.8129,49.5983,31.2419,18.3564,0.7
62,769,2013,La Salle,67.0656,64.3651,107.345,110.546,97.857,97.2446,13.3018,13,0,5.67,-0.5,51.8902,49.3201,2.5701,17.1286,21.3449,4.2163,28.9956,34.1749,-5.1793,31.3309,28.4519,2.879,0.7
63,754,2013,Ole Miss,70.9387,68.7636,108.453,112.338,94.1225,95.8159,16.5223,12,1,3.19,-7.55,49.148,46.4202,2.7278,15.9397,21.5127,5.573,34.0991,31.8115,2.2876,38.8341,31.0881,7.746,0.8
64,779,2013,Florida Gulf Coast,69.1954,66.6594,103.586,103.304,95.8325,99.9512,3.35293,15,1,-2.79,4.57,51.5813,46.9322,4.6491,20.9969,22.1407,1.1438,32.5123,32.8937,-0.3814,35.1908,32.7066,2.4842,0.8
65,770,2013,California,66.3518,63.887,101.459,107.434,96.5891,94.7044,12.7298,12,0,8.35,2.12,48.0,44.2559,3.7441,18.9316,16.7979,-2.1337,32.5225,30.6954,1.8271,31.2,32.4804,-1.2804,0.7
66,762,2013,Oregon,68.8589,67.0931,102.319,105.529,90.3297,90.6673,14.8613,12,1,5.92,-8.08,49.2891,46.4426,2.8465,21.4335,21.9742,0.5407,35.7369,27.1173,8.6196,38.3412,33.317,5.0242,0.7
67,750,2013,Wichita St,64.7695,62.4159,107.139,109.966,93.6903,92.5764,17.3895,9,0,6.71,0.17,50.0231,45.3465,4.6766,19.449,19.9629,0.5139,38.0104,26.4925,11.5179,36.5189,38.3168,-1.7979,0.7
68,779,2013,Florida Gulf Coast,69.1954,66.6594,103.586,103.304,95.8325,99.9512,3.35293,15,1,-2.79,4.57,51.5813,46.9322,4.6491,20.9969,22.1407,1.1438,32.5123,32.8937,-0.3814,35.1908,32.7066,2.4842,0.8
69,750,2013,Wichita St,64.7695,62.4159,107.139,109.966,93.6903,92.5764,17.3895,9,0,6.71,0.17,50.0231,45.3465,4.6766,19.449,19.9629,0.5139,38.0104,26.4925,11.5179,36.5189,38.3168,-1.7979,0.7
70,837,2014,Stephen F Austin,65.1297,61.7091,116.078,111.44,96.7428,100.651,10.7884,12,1,-7.12,-4.19,52.2727,50.5484,1.7243,16.9111,23.5828,6.6717,38.2194,28.9256,9.2938,39.8931,50.7097,-10.8166,1.0
71,820,2014,Harvard,64.5519,64.1253,111.823,112.027,92.8241,94.7095,17.3178,12,0,0.13,0.98,52.0615,46.2346,5.8269,17.6137,21.1561,3.5424,32.3499,29.2706,3.0793,48.6154,36.358,12.2574,0.9
72,835,2014,North Dakota St,64.0705,63.0184,116.89,116.004,105.246,103.42,12.5832,12,1,1.38,5.32,54.5339,49.8078,4.7261,15.5752,17.137999999999998,1.5628,30.6286,27.8876,2.741,41.598,40.1666,1.4314,0.9
73,843,2014,Mercer,65.9941,63.9334,113.08,108.78,97.853,101.313,7.46633,14,1,-4.44,4.65,54.0707,46.7356,7.3351,17.4601,18.9746,1.5145,31.9013,31.1612,0.7401,37.3326,41.0229,-3.6903,0.8
74,821,2014,Stanford,67.0989,65.271,108.976,113.435,101.73,97.4392,15.9959,10,0,9.42,2.34,51.2821,47.9811,3.301,16.8816,17.0467,0.1651,29.2827,28.0632,1.2195,44.9744,37.0389,7.9355,0.6
75,834,2014,Dayton,65.7334,63.8792,110.764,113.694,101.943,100.71,12.9838,11,0,6.25,-0.57,52.3538,48.8114,3.5424,18.1456,18.8435,0.6979,33.9623,28.7459,5.2164,40.5847,43.0491,-2.4644,0.8
76,807,2014,Kentucky,66.8184,64.6236,112.311,116.202,98.75,95.0512,21.1505,8,0,10.73,4.19,49.9548,45.9709,3.9839,18.1034,16.0752,-2.0282,41.9166,29.7077,12.2089,51.7397,36.812,14.9277,0.5
77,906,2015,Georgia St,64.3117,62.5745,108.62,110.463,95.7931,100.687,9.77537,14,1,-1.47,3.63,51.9857,45.8498,6.1359,16.2668,23.2383,6.9715,30.0,34.8382,-4.8382,37.6724,39.808,-2.1356,0.9
78,916,2015,UAB,65.4962,64.4025,101.144,104.585,99.5814,101.758,2.82779,14,1,0.29,3.4,47.5535,47.5598,-0.0063,20.1201,19.6541,-0.466,34.1503,33.098,1.0523,35.6779,33.5657,2.1122,0.6
